Compositor,Fecha de nacimiento,Titulo de la obra,Movimiento o indicacion de tempo,Opus,Numero de la obra,Genero,Archivo,Beta,J,J_interp10,notes_durations
bach,1685.0,"Fuga 15, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f15.krn,1.32,0.5468802909825696,0.2934054482980694,3
bach,1685.0,"Fuga 9, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f09.krn,5.22,0.0751974520151917,0.0318265356464819,3
bach,1685.0,"Fuga 5, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f05.krn,0.82,0.9855901744951286,0.7432259759815298,5
bach,1685.0,"Prelude in A-flat Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p17.krn,1.0,0.93310138196552,0.9607626152579998,8
bach,1685.0,"Fuga 16, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f16.krn,0.29,0.9103795241019278,0.7114702707251723,4
bach,1685.0,"Prelude in B-flat Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p21.krn,1.68,0.1553112791779841,0.1500144229937978,4
bach,1685.0,"Prelude in D Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p06.krn,1.46,0.7614362258291597,0.7971524173250225,15
bach,1685.0,"Fuga 17, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f17.krn,1.18,0.6340580741071692,0.2820603685531445,3
bach,1685.0,"Prelude in A Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p20.krn,1.17,0.9327136425994336,0.9326274572196204,7
bach,1685.0,"Fuga 6, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f06.krn,1.41,0.9871415328058886,0.9883932111128426,13
bach,1685.0,"Prelude in D Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p06.krn,0.71,0.9576164423720386,0.953153258903435,8
bach,1685.0,"Prelude in C Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p02.krn,1.49,0.9325424139698986,0.9063568632615234,5
bach,1685.0,"Fuga 1, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f01.krn,0.57,0.927844533987776,0.5062844429529987,4
bach,1685.0,"Prelude in A Major
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p19.krn,0.62,0.9775091178414382,0.9765823028418558,6
bach,1685.0,"Fuga 1, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f01.krn,0.11,0.9686809441179288,0.8043876316019357,4
bach,1685.0,"Fuga 11, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f11.krn,0.88,0.8406785937053357,0.4642484771478368,4
bach,1685.0,"Prelude in C-sharp Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p03.krn,6.16,0.0490548878478803,0.0517960607070944,3
bach,1685.0,"Prelude in E Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p10.krn,0.48,0.9744967724149848,0.9984224367918844,3
bach,1685.0,"Prelude in D-sharp Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p08.krn,0.32,0.9772881506779766,0.984900802515477,3
bach,1685.0,"Prelude in B Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p24.krn,0.84,0.9770150414200632,0.9751726239757345,7
bach,1685.0,"Prelude No. 17 in F-sharp minor
",,,,Prelude,wtc2p17.krn,0.26,0.985799718657316,0.9889945265959024,5
bach,1685.0,"Prelude in G Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p16.krn,,,,NaN
bach,1685.0,"Fuga 23, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f23.krn,0.33,0.9272113683350912,0.7182506060172106,4
bach,1685.0,"Fuga 24, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f24.krn,0.25,0.881309088753166,0.8800448850610562,4
bach,1685.0,"Fuga 9, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f09.krn,0.01,0.9555472276699768,0.9695720970516568,4
bach,1685.0,"Fuga 4, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f04.krn,0.25,0.9581760839152038,0.9071741932144716,1
bach,1685.0,"Prelude in A Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p20.krn,0.32,0.9682899574692764,0.7961333822750458,5
bach,1685.0,"Prelude in E-flat Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p08.krn,0.78,0.9269703850501484,0.9341902548840996,13
bach,1685.0,"Fuga 14, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f14.krn,0.29,0.8577763389450189,0.5218251839496162,6
bach,1685.0,"Fuga 8, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f08.krn,0.08,0.985443302742195,0.9814834819370516,6
bach,1685.0,"Prelude in A Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p19.krn,0.76,0.9701584957074706,0.9971818722476478,7
bach,1685.0,"Fuga 12, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f12.krn,0.34,0.9823915569009504,0.7774445330136579,4
bach,1685.0,"Fuga 21, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f21.krn,0.3,0.9487568940497668,0.621978480550005,2
bach,1685.0,"Fuga 3, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f03.krn,0.23,0.8896788138698416,0.5962035790171222,2
bach,1685.0,"Fuga 23, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f23.krn,0.5,0.9515354686673252,0.939645577882186,4
bach,1685.0,"Fuga 22, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f22.krn,0.12,0.9596146467422682,0.9497232797468832,5
bach,1685.0,"Fuga 13, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f13.krn,0.74,0.9565439375522876,0.64454799158071,5
bach,1685.0,"Fuga 4, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f04.krn,0.18,0.9317498419873298,0.9348960582270378,4
