Compositor,Fecha de nacimiento,Titulo de la obra,Movimiento o indicacion de tempo,Opus,Numero de la obra,Genero,Archivo,Beta,J,J_interp10
bach,"1685/03/31-1750/07/28
","Contrapunctus 5, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-005.krn,0.81,0.9980534663688118,0.9941229795235579
bach,"1685/03/31-1750/07/28
","Contrapunctus XIX (The Art of the Fugue
)",,,,Fugue,artfugue-019.krn,-0.18,0.992731701826405,0.8674871027513119
bach,"1685/03/31-1750/07/28
","Contrapunctus 9, a 4, alla Duodecima
 (The Art of the Fugue
)",,,,Fugue,artfugue-009.krn,0.13,0.9938603934998297,0.7882458773157566
bach,"1685/03/31-1750/07/28
","Contrapunctus 6, a 4, in Stile francese
 (The Art of the Fugue
)",,,,Fugue,artfugue-006.krn,-0.01,0.9746685009049221,0.9746603425117936
bach,"1685/03/31-1750/07/28
","Contrapunctus 4, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-004.krn,0.36,0.9808915230580396,0.9877104649260137
bach,"1685/03/31-1750/07/28
","Contrapunctus 18 (XII), a 4. (inversus)
 (The Art of the Fugue
)",,,,Fugue,artfugue-018b.krn,0.02,0.9848527230529872,0.9692885740737265
bach,"1685/03/31-1750/07/28
","Contrpunctus XV (The Art of the Fugue
)",,,,Fugue,artfugue-015.krn,0.13,0.9745497040373851,0.9662166017671451
bach,"1685/03/31-1750/07/28
","Contrapunctus XIII (The Art of the Fugue
)",,,,Fugue,artfugue-013.krn,0.18,0.9249352533081137,0.7892468512055582
bach,"1685/03/31-1750/07/28
","Contrapunctus 16 (XIII), a 3. (inversus)
 (The Art of the Fugue
)",,,,Fugue,artfugue-016b.krn,0.06,0.9766723498939675,0.997740941477173
bach,"1685/03/31-1750/07/28
","Contrapunctus 10, a 4, alla Decima
 (The Art of the Fugue
)",,,,Fugue,artfugue-010.krn,0.16,0.9429130468610317,0.7179577845873891
bach,"1685/03/31-1750/07/28
","Contrapunctus 8, a 3.
 (The Art of the Fugue
)",,,,Fugue,artfugue-008.krn,0.05,0.9766544441732217,0.8122216945498233
bach,"1685/03/31-1750/07/28
","Contrapunctus 3, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-003.krn,0.45,0.9851482136794482,0.9784368469474777
bach,"1685/03/31-1750/07/28
","14 (XVII). Canon alla Decima. Contrapunto all a Terza
 (The Art of the Fugue
)",,,,Fugue,artfugue-014.krn,0.24,0.9691176161296974,0.8314498361780818
bach,"1685/03/31-1750/07/28
","Contrapunctus 2, a 4.
 (The Art of the Fugue
)",,,,Fugue,artfugue-002.krn,-0.32,0.9560633661193477,0.9637170616732774
bach,"1685/3//-1750/7/28/
","Prelude in F Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p11.krn,-0.05,0.9534033528503386,0.9913683488515018
bach,,"Fuga 18, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f18.krn,-0.17,0.9597074355268922,0.9715296697841641
bach,,"Fuga 17, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f17.krn,0.14,0.9954448199944222,0.7626659667801305
bach,"1685/3//-1750/7/28/
","Prelude in B-flat Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p22.krn,NaN,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in G Major
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p15.krn,0.65,0.9785927256424587,0.9758893675750738
bach,,"Fuga 6, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f06.krn,0.18,0.9814543780392093,0.8132633986025937
bach,,"Fuga 7, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f07.krn,-0.45,0.9463545794726761,0.9463580430813615
bach,,"Fuga 20, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f20.krn,0.15,0.9506102353905368,0.8679604849391721
bach,,"Fuga 2, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f02.krn,-0.21,0.9130330280228607,0.7853822639068125
bach,,"Prelude No. 11 in F major
",,,,Prelude,wtc2p11.krn,0.52,0.9962867714869191,0.9960726906213242
bach,"1685/3//-1750/7/28/
","Prelude in B Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p23.krn,NaN,NaN,NaN
bach,"1685/3//-1750/7/28/
","Prelude in B-flat Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p22.krn,0.45,0.8919810713583809,0.8877819490993
bach,,"Fuga 7, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f07.krn,0.29,0.9830710729761106,0.9830145801359049
bach,,"Fuga 10, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f10.krn,-0.04,0.9743658029256511,0.4844832083068684
bach,,"Fuga 2, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f02.krn,-0.08,0.9914386347407892,0.7935998969154638
bach,,"Fuga 15, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f15.krn,0.03,0.9639053210122324,0.7329898752108943
bach,,"Fuga 9, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f09.krn,1.0,0.968307296853356,0.4896575880322124
bach,,"Fuga 5, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f05.krn,-0.07,0.9338513988006973,0.8507154638059766
bach,"1685/3//-1750/7/28/
","Prelude in A-flat Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p17.krn,0.69,0.9930863218208685,0.9651103835847568
bach,,"Fuga 16, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f16.krn,-0.01,0.9500133266213816,0.8123016848111843
bach,"1685/3//-1750/7/28/
","Prelude in B-flat Major
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p21.krn,0.57,0.9631581769964118,0.948278100359012
bach,"1685/3//-1750/7/28/
","Prelude in D Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p06.krn,1.42,0.973376896065206,0.7173538015418809
bach,,"Fuga 17, Vol. 1
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc1f17.krn,0.12,0.9783130431573773,0.7362221861706775
bach,"1685/3//-1750/7/28/
","Prelude in A Minor
 (Das wohltemperirte Clavier, Band I
)",,,,Prelude,wtc1p20.krn,0.71,0.9510581697046991,0.9425033197612648
bach,,"Fuga 6, Vol. 2
 (Das wohltemperierte Klavier
)",,,,Fugue,wtc2f06.krn,0.13,0.9762311209191016,0.832178696436618
bach,"1685/3//-1750/7/28/
","Prelude in D Minor
 (Das wohltemperirte Clavier, Band II
)",,,,Prelude,wtc2p06.krn,0.13,0.9839345590563447,0.9695804187412379
