b,PPn,RRn,TTn,PR,RT,PT,TPn
504,814,816,814,128,344,472,1286
505,814,810,812,124,346,470,1284
506,816,818,816,126,344,470,1286
507,816,816,818,126,346,472,1288
508,818,818,818,126,346,472,1290
509,818,820,820,128,346,474,1292
510,814,812,812,126,346,472,1286
511,820,820,818,126,344,470,1290
512,816,814,816,124,346,470,1286
513,818,820,820,126,346,472,1290
514,822,822,822,126,346,472,1294
515,812,812,812,126,346,472,1284
516,818,818,816,126,344,470,1288
517,814,812,814,124,346,470,1284
518,814,816,816,126,346,472,1286
519,814,814,814,126,346,472,1286
520,816,814,814,124,346,470,1286
521,816,816,818,124,348,472,1288
522,820,822,818,126,344,470,1290
523,820,818,820,124,346,470,1290
524,816,816,818,124,348,472,1288
525,822,824,820,126,344,470,1292
526,818,818,818,126,344,470,1288
527,826,824,828,124,348,472,1298
528,820,822,820,126,346,472,1292
529,824,822,824,124,348,472,1296
530,826,828,824,126,344,470,1296
531,828,828,828,126,344,470,1298
532,834,834,838,126,348,474,1308
533,834,834,832,126,346,472,1306
534,840,840,840,126,346,472,1312
535,842,842,842,126,346,472,1314
536,846,846,846,126,346,472,1318
537,844,844,846,126,348,474,1318
538,844,844,844,126,348,474,1318
539,846,844,844,124,348,472,1318
540,840,842,844,126,350,476,1316
541,846,844,844,124,350,474,1320
542,846,846,846,124,350,474,1320
543,842,840,842,125,352,474,1316
544,842,846,842,126,348,474,1316
545,844,844,844,126,348,474,1318
546,842,842,842,126,348,474,1316
547,834,834,836,126,350,476,1310
548,836,836,834,126,348,474,1310
549,832,832,830,126,346,472,1304
550,828,828,830,126,348,474,1302
551,830,828,830,124,350,474,1304
552,822,822,820,124,348,472,1294
553,822,824,822,126,346,472,1294
554,822,822,824,126,348,474,1296
555,828,826,826,124,348,472,1300
556,824,826,826,126,348,474,1298
557,824,824,824,126,348,474,1298
558,832,834,832,128,346,474,1306
559,832,832,834,128,348,476,1308
560,844,842,840,126,346,472,1316
561,838,838,842,126,350,476,1314
562,844,840,840,126,350,472,1316
563,838,842,840,126,348,474,1312
564,840,838,842,124,352,476,1316
565,842,846,842,128,348,476,1318
566,840,836,838,124,350,474,1314
567,834,836,834,126,348,474,1308
568,842,840,842,124,350,474,1316
569,842,842,844,124,352,476,1318
570,836,838,836,126,350,476,1312
571,830,830,830,126,350,476,1306
572,834,836,836,128,350,478,1312
573,832,830,828,126,348,474,1306
574,830,828,830,124,350,474,1304
575,828,828,826,124,348,472,1300
576,822,824,824,126,348,474,1296
577,826,826,826,126,348,474,1300
578,830,830,830,126,348,474,1304
579,834,834,834,126,348,474,1308
580,830,832,834,128,350,478,1308
581,836,834,832,126,348,474,1310
582,834,836,836,128,348,476,1310
583,838,836,838,126,350,476,1314
584,832,834,832,128,348,476,1308
585,832,830,830,126,348,474,1306
586,836,836,836,126,348,474,1310
587,832,832,834,126,350,476,1308
588,832,832,832,126,350,476,1308
589,828,828,828,126,350,476,1304
590,832,834,830,128,346,474,1306
591,824,824,824,128,346,474,1298
592,830,828,830,126,348,474,1304
593,822,820,822,124,350,474,1296
594,822,822,822,124,350,474,1296
595,824,824,822,124,348,472,1296
596,824,826,826,126,348,474,1298
597,826,826,826,126,348,474,1300
598,818,818,820,126,350,476,1294
599,822,820,818,124,348,472,1294
600,820,820,820,124,348,472,1292
601,814,818,816,128,346,474,1288
602,824,822,824,126,348,474,1298
603,816,814,812,124,346,470,1286
604,810,812,810,126,344,470,1280
605,804,804,804,126,344,470,1274
606,798,796,798,124,346,470,1268
607,790,792,790,126,344,470,1260
608,788,786,786,124,344,468,1256
609,790,790,792,124,346,470,1260
610,792,796,792,128,342,470,1262
611,794,794,796,128,344,472,1266
612,796,796,794,128,342,470,1266
613,808,806,806,126,342,468,1276
614,812,812,816,126,346,472,1284
615,818,816,818,124,348,472,1290
616,818,820,818,126,346,472,1290
617,826,826,826,126,346,472,1298
618,832,832,832,126,346,472,1304
619,834,834,836,126,348,474,1308
620,828,828,828,126,348,474,1302
621,830,828,826,124,346,470,1300
622,822,824,826,126,348,474,1296
623,822,820,820,124,348,472,1294
624,822,822,822,124,348,472,1294
625,816,820,818,128,346,474,1290
626,824,822,822,126,346,472,1296
627,822,822,822,126,346,472,1294
628,828,828,830,126,348,474,1302
629,828,828,828,126,348,474,1302
630,826,824,824,124,348,472,1298
631,826,828,826,126,346,472,1298
632,822,822,824,126,348,474,1296
633,822,824,822,128,346,474,1296
634,826,824,826,126,348,474,1300
635,822,822,820,126,346,472,1294
636,824,826,822,128,342,470,1294
637,824,824,830,128,348,476,1300
638,830,828,828,126,348,474,1304
639,824,824,824,126,348,474,1298
640,828,830,828,128,346,474,1302
641,832,830,832,126,348,474,1306
