b,PPn,RRn,TTn,PR,RT,PT,TPn
6876,796,798,796,128,328,456,1252
6877,826,824,826,126,330,456,1282
6878,812,812,812,126,330,456,1268
6879,790,792,790,128,328,456,1246
6880,820,818,820,126,330,456,1276
6881,790,790,788,126,328,454,1244
6882,796,798,798,128,328,456,1252
6883,804,802,804,126,330,456,1260
6884,806,806,806,126,330,456,1262
6885,794,794,794,126,330,456,1250
6886,782,786,784,130,328,458,1240
6887,806,804,806,128,330,458,1264
6888,798,798,798,128,330,458,1256
6889,806,806,806,128,330,458,1264
6890,814,812,814,126,332,458,1272
6891,806,808,806,128,330,458,1264
6892,828,824,826,124,332,456,1284
6893,834,840,840,130,332,462,1296
6894,816,816,816,130,332,462,1278
6895,826,822,822,126,332,458,1284
6896,752,816,814,127,330,459,1272
6897,872,810,812,128,332,460,1332
6898,816,814,816,126,334,460,1276
6899,800,804,802,130,332,462,1262
6900,828,828,828,130,332,462,1290
6901,814,812,812,128,332,460,1274
6902,804,806,806,130,332,462,1266
6903,818,816,818,128,334,462,1280
6904,808,810,808,130,332,462,1270
6905,820,816,818,126,334,460,1280
6906,800,802,800,128,332,460,1260
6907,800,800,800,128,332,460,1260
6908,812,812,814,128,334,462,1274
6909,820,820,822,128,336,464,1284
6910,830,832,830,130,334,464,1294
6911,802,804,800,132,330,462,1264
6912,816,814,818,130,334,464,1280
6913,844,840,844,126,338,464,1308
6914,816,818,814,128,334,462,1278
6915,828,826,830,126,338,464,1292
6916,812,816,812,130,334,464,1276
6917,782,780,780,128,334,462,1244
6918,826,826,828,128,336,464,1290
6919,794,794,794,128,336,464,1258
6920,812,812,812,128,336,464,1276
6921,786,786,784,128,334,462,1248
6922,782,782,784,128,336,464,1246
6923,808,808,808,128,336,464,1272
6924,790,790,790,128,336,464,1254
6925,820,820,820,128,336,464,1284
6926,800,800,798,128,334,462,1262
6927,788,788,790,128,336,464,1252
6928,826,826,828,128,338,466,1292
6929,804,804,802,128,336,464,1268
6930,816,816,816,128,336,464,1280
6931,794,794,792,128,334,462,1256
6932,792,792,794,128,336,464,1256
6933,790,788,790,126,338,464,1254
6934,778,780,778,128,336,464,1242
