measure,obs,mu_null,sigma_null,Z,absZ,experiment,transform,rep,N
PE,0.9455354294494752,0.9387338896320742,0.003764851254280927,1.8065892536038926,1.8065892536038926,static_transform_control,static_exp,11,4000
S_theta,0.6368324357309287,0.6434517287628931,0.008688967083366566,-0.7618043627574357,0.7618043627574357,static_transform_control,static_exp,11,4000
gamma_R,0.26122839996633207,0.25966606064006686,0.007681901441600131,0.20337924641998165,0.20337924641998165,static_transform_control,static_exp,11,4000
PE,0.9455354294494752,0.9471027493894475,0.0027576122424113887,-0.5683612495866127,0.5683612495866127,static_transform_control,static_tanh,11,4000
S_theta,0.6865964979407925,0.7022494808513557,0.007409796181394939,-2.112471453650228,2.112471453650228,static_transform_control,static_tanh,11,4000
gamma_R,0.26122839996633207,0.2576428293088959,0.001532561130149667,2.3395938908394363,2.3395938908394363,static_transform_control,static_tanh,11,4000
PE,0.9473310416866488,0.9445600772059709,0.002164595084441514,1.2801306353298236,1.2801306353298236,static_transform_control,linear_AR1_original,12,4000
S_theta,0.7128308527063506,0.7144138879055915,0.007306798408137369,-0.21665237095878767,0.21665237095878767,static_transform_control,linear_AR1_original,12,4000
gamma_R,0.2578405302469141,0.26739103586429835,0.004831666995698707,-1.976648147706865,1.976648147706865,static_transform_control,linear_AR1_original,12,4000
PE,0.9793573450285541,0.9640304901717295,0.002626453103559013,5.8355714922363315,5.8355714922363315,static_transform_control,static_square,12,4000
S_theta,0.6787286256085392,0.6504615689142759,0.009227974855209233,3.0631917769375416,3.0631917769375416,static_transform_control,static_square,12,4000
gamma_R,0.10828266514919127,0.1615786792583377,0.007765847106510115,-6.862871928610123,6.862871928610123,static_transform_control,static_square,12,4000
PE,0.9473310416866488,0.9421190852288879,0.0034749546481682952,1.4998631595115246,1.4998631595115246,static_transform_control,static_exp,12,4000
S_theta,0.6540386974398554,0.642435400401242,0.010032972892238586,1.1565163350126864,1.1565163350126864,static_transform_control,static_exp,12,4000
gamma_R,0.2578405302469141,0.28468478264475133,0.007918263587393424,-3.3901690820921453,3.3901690820921453,static_transform_control,static_exp,12,4000
PE,0.9473310416866488,0.9517382834703263,0.002468461434618812,-1.7854205546290185,1.7854205546290185,static_transform_control,static_tanh,12,4000
S_theta,0.695943404586345,0.7147183054891889,0.0065087117342393554,-2.8845801856729625,2.8845801856729625,static_transform_control,static_tanh,12,4000
gamma_R,0.2578405302469141,0.2528886509688881,0.001543031323250748,3.20918908346836,3.20918908346836,static_transform_control,static_tanh,12,4000
PE,0.9510685738747006,0.9493216463786801,0.002193036819697604,0.7965791911607479,0.7965791911607479,static_transform_control,linear_AR1_original,13,4000
S_theta,0.7259463116438942,0.7227012129389082,0.0061377017719065384,0.5287156048929369,0.5287156048929369,static_transform_control,linear_AR1_original,13,4000
gamma_R,0.25160552618839815,0.25177531040396506,0.004457747292645995,-0.038087447408021335,0.038087447408021335,static_transform_control,linear_AR1_original,13,4000
PE,0.9807945546706944,0.9764761550421938,0.002139820877237751,2.018112672157493,2.018112672157493,static_transform_control,static_square,13,4000
S_theta,0.7036064586075913,0.6990150407120038,0.009015179281704823,0.5092985676840822,0.5092985676840822,static_transform_control,static_square,13,4000
gamma_R,0.09745987756949193,0.12103070465428717,0.00742655485190713,-3.1738575362090384,3.1738575362090384,static_transform_control,static_square,13,4000
PE,0.9510685738747006,0.9505609330231273,0.003456404099109158,0.14686964747673034,0.14686964747673034,static_transform_control,static_exp,13,4000
S_theta,0.6649867080147701,0.6660122762120793,0.010176523052875008,-0.10077785821154393,0.10077785821154393,static_transform_control,static_exp,13,4000
gamma_R,0.25160552618839815,0.26128237461282283,0.008448752897860899,-1.14535820154886,1.14535820154886,static_transform_control,static_exp,13,4000
PE,0.9510685738747006,0.9517946822351856,0.0028568044899487414,-0.25416802691249696,0.25416802691249696,static_transform_control,static_tanh,13,4000
S_theta,0.7089243679090502,0.7135312023049688,0.007504069790611875,-0.6139114539795535,0.6139114539795535,static_transform_control,static_tanh,13,4000
gamma_R,0.25160552618839815,0.2477662778927425,0.0014504545216382785,2.6469277308462256,2.6469277308462256,static_transform_control,static_tanh,13,4000
PE,0.948222740810253,0.9459763532303556,0.002301153502108984,0.9762006653787713,0.9762006653787713,static_transform_control,linear_AR1_original,14,4000
S_theta,0.7118098732332764,0.7138047962669706,0.008027968137358241,-0.24849663072413042,0.24849663072413042,static_transform_control,linear_AR1_original,14,4000
gamma_R,0.26024027372431624,0.26210819718713596,0.003851808969709596,-0.4849470670817175,0.4849470670817175,static_transform_control,linear_AR1_original,14,4000
PE,0.9816820457890416,0.9684546433978773,0.0026390234661564423,5.012233714779762,5.012233714779762,static_transform_control,static_square,14,4000
S_theta,0.6987999096654806,0.6754951073593802,0.009187471554770532,2.536584975220899,2.536584975220899,static_transform_control,static_square,14,4000
gamma_R,0.09766817205387246,0.14638494492338908,0.008129912302004251,-5.992287623755372,5.992287623755372,static_transform_control,static_square,14,4000
PE,0.948222740810253,0.9503439186126653,0.003698050940053406,-0.5735934514686929,0.5735934514686929,static_transform_control,static_exp,14,4000
S_theta,0.6612256225788612,0.6683411368495134,0.0090389031209122,-0.7872099275176283,0.7872099275176283,static_transform_control,static_exp,14,4000
gamma_R,0.26024027372431624,0.2555485457666957,0.007248820761214483,0.647240166666013,0.647240166666013,static_transform_control,static_exp,14,4000
PE,0.948222740810253,0.9492081985735422,0.00282236331163523,-0.34916049228198737,0.34916049228198737,static_transform_control,static_tanh,14,4000
S_theta,0.7092785296859555,0.7057633593830676,0.00609413179375431,0.5768123207460889,0.5768123207460889,static_transform_control,static_tanh,14,4000
gamma_R,0.26024027372431624,0.2592038198461058,0.001281750599740031,0.808623673295459,0.808623673295459,static_transform_control,static_tanh,14,4000
PE,0.9452717684019645,0.9451527315835342,0.0024080591345538266,0.04943268075197844,0.04943268075197844,static_transform_control,linear_AR1_original,15,4000
S_theta,0.7207560459516293,0.7135058950150892,0.007165039928023492,1.011878650973564,1.011878650973564,static_transform_control,linear_AR1_original,15,4000
gamma_R,0.2574080915486521,0.2620637508172186,0.004681022729788203,-0.9945816410887597,0.9945816410887597,static_transform_control,linear_AR1_original,15,4000
