measure,obs,mu_null,sigma_null,Z,absZ,experiment,lambda,rep,N
PE,0.9581861695005881,0.9607615560309694,0.0020640814451493637,-1.2477155571711893,1.2477155571711893,nonlinear_ar1_sweep,0.3,11,4000
S_theta,0.7621662909407596,0.7545096637739492,0.008007123018264593,0.9562269930592141,0.9562269930592141,nonlinear_ar1_sweep,0.3,11,4000
gamma_R,0.24619454663138107,0.21404543423916397,0.004196968034598095,7.660080354959321,7.660080354959321,nonlinear_ar1_sweep,0.3,11,4000
PE,0.9580674225116812,0.9575140186562541,0.0023148702735688426,0.23906473798807804,0.23906473798807804,nonlinear_ar1_sweep,0.3,12,4000
S_theta,0.7485378428723397,0.7476390084774219,0.006635123749830773,0.13546610866763484,0.13546610866763484,nonlinear_ar1_sweep,0.3,12,4000
gamma_R,0.22092021083468638,0.2036491424065916,0.0035884940850300618,4.812901461965235,4.812901461965235,nonlinear_ar1_sweep,0.3,12,4000
PE,0.9515445350703629,0.954356533339585,0.002090485205863536,-1.3451414347898265,1.3451414347898265,nonlinear_ar1_sweep,0.3,13,4000
S_theta,0.7388070060519288,0.7423601866453676,0.007344707075786568,-0.4837743094142752,0.4837743094142752,nonlinear_ar1_sweep,0.3,13,4000
gamma_R,0.21716802601680452,0.20047425020930468,0.00354668391359618,4.706868786221519,4.706868786221519,nonlinear_ar1_sweep,0.3,13,4000
PE,0.9501201755010986,0.9570642295506704,0.0020097527218085743,-3.455178328268575,3.455178328268575,nonlinear_ar1_sweep,0.3,14,4000
S_theta,0.7592599259904245,0.7534459371397183,0.006649681753870139,0.8743258799298781,0.8743258799298781,nonlinear_ar1_sweep,0.3,14,4000
gamma_R,0.23383156728226295,0.20002178394311718,0.0033903494553579323,9.972359423219501,9.972359423219501,nonlinear_ar1_sweep,0.3,14,4000
PE,0.9550878843617536,0.9566715488449489,0.002381415850968399,-0.6650096338912213,0.6650096338912213,nonlinear_ar1_sweep,0.3,15,4000
S_theta,0.7557132830031218,0.7508013061260987,0.007146631674881325,0.6873135625958527,0.6873135625958527,nonlinear_ar1_sweep,0.3,15,4000
gamma_R,0.22838223234229005,0.20270750345360702,0.003743434914421809,6.858601652126922,6.858601652126922,nonlinear_ar1_sweep,0.3,15,4000
PE,0.9581185011373615,0.9599935725028843,0.0020907259424293345,-0.8968518194900436,0.8968518194900436,nonlinear_ar1_sweep,0.3,16,4000
S_theta,0.7500925723241972,0.7615669011274542,0.006323276317135118,-1.8146176487912211,1.8146176487912211,nonlinear_ar1_sweep,0.3,16,4000
gamma_R,0.21693663380572548,0.19340782733952688,0.004066464289105081,5.786060024979747,5.786060024979747,nonlinear_ar1_sweep,0.3,16,4000
PE,0.9564935256280909,0.9574976227674509,0.002274288869021479,-0.44149938604414024,0.44149938604414024,nonlinear_ar1_sweep,0.3,17,4000
S_theta,0.7456983552155789,0.7488871714677845,0.007732160692850432,-0.41240946468612877,0.41240946468612877,nonlinear_ar1_sweep,0.3,17,4000
gamma_R,0.2203589991630548,0.20294172067604058,0.003909799524930706,4.454775334631232,4.454775334631232,nonlinear_ar1_sweep,0.3,17,4000
PE,0.9565344591434729,0.9590709416293314,0.002090414911244204,-1.2133870994771896,1.2133870994771896,nonlinear_ar1_sweep,0.3,18,4000
S_theta,0.7499727485547429,0.7503659178980152,0.007448173640557752,-0.05278734925449835,0.05278734925449835,nonlinear_ar1_sweep,0.3,18,4000
gamma_R,0.23255369456349595,0.20762715913466423,0.0042601673885223615,5.851069489895674,5.851069489895674,nonlinear_ar1_sweep,0.3,18,4000
PE,0.9464510398024265,0.9530411292930567,0.0023167504910378326,-2.844540021087065,2.844540021087065,nonlinear_ar1_sweep,0.3,19,4000
S_theta,0.7265975839575921,0.739925954020209,0.0072847361443796055,-1.82962976262361,1.82962976262361,nonlinear_ar1_sweep,0.3,19,4000
gamma_R,0.24251905048005185,0.21740128412930534,0.003831888197913866,6.554931943061639,6.554931943061639,nonlinear_ar1_sweep,0.3,19,4000
PE,0.9479833000186682,0.9502551205484125,0.0022704916888777703,-1.0005852656819376,1.0005852656819376,nonlinear_ar1_sweep,0.44999999999999996,0,4000
S_theta,0.7149972728086786,0.7242949405271579,0.007358979822715171,-1.2634451979036432,1.2634451979036432,nonlinear_ar1_sweep,0.44999999999999996,0,4000
gamma_R,0.28111926444055935,0.2441391834170852,0.0033538674752447463,11.02610085116006,11.02610085116006,nonlinear_ar1_sweep,0.44999999999999996,0,4000
PE,0.958582099427499,0.9596644349802312,0.002218769779673063,-0.4878088581555212,0.4878088581555212,nonlinear_ar1_sweep,0.44999999999999996,1,4000
S_theta,0.7431891190234037,0.7419394744551675,0.007796340910437698,0.16028603451179993,0.16028603451179993,nonlinear_ar1_sweep,0.44999999999999996,1,4000
gamma_R,0.27799268653784204,0.23480326654308917,0.003205035554186901,13.475488575573626,13.475488575573626,nonlinear_ar1_sweep,0.44999999999999996,1,4000
PE,0.9544711811181237,0.9553939498643169,0.0023543583049952595,-0.39194065925963406,0.39194065925963406,nonlinear_ar1_sweep,0.44999999999999996,2,4000
S_theta,0.7323005806024313,0.7397291510145148,0.006537996634630139,-1.1362150865505436,1.1362150865505436,nonlinear_ar1_sweep,0.44999999999999996,2,4000
