representacion,shuffle,m,mPE_null
alturas_MIDI,80,3,2.3286113245048665
alturas_MIDI,80,4,3.845748345760265
alturas_MIDI,80,5,5.007149363934887
alturas_MIDI,80,6,5.429117068724465
alturas_MIDI,80,7,5.575468760050559
alturas_MIDI,81,2,0.9780025599253572
alturas_MIDI,81,3,2.347563848585602
alturas_MIDI,81,4,3.9014158355332307
alturas_MIDI,81,5,5.1115534783739385
alturas_MIDI,81,6,5.500003027765683
alturas_MIDI,81,7,5.570296019897126
alturas_MIDI,82,2,0.896087608622945
alturas_MIDI,82,3,2.1841033448657874
alturas_MIDI,82,4,3.682482566474239
alturas_MIDI,82,5,4.841232544804418
alturas_MIDI,82,6,5.397256705505376
alturas_MIDI,82,7,5.568343601450244
alturas_MIDI,83,2,0.8898556005536804
alturas_MIDI,83,3,2.202879325821526
alturas_MIDI,83,4,3.711452399779969
alturas_MIDI,83,5,4.8612756508427335
alturas_MIDI,83,6,5.407239836315283
alturas_MIDI,83,7,5.575468760050559
alturas_MIDI,84,2,0.9298253193056767
alturas_MIDI,84,3,2.278756819373821
alturas_MIDI,84,4,3.7831355595459213
alturas_MIDI,84,5,4.9833488871675975
alturas_MIDI,84,6,5.5431762732404914
alturas_MIDI,84,7,5.5909869805108565
alturas_MIDI,85,2,0.9358095662644469
alturas_MIDI,85,3,2.285916684045614
alturas_MIDI,85,4,3.7940393545118214
alturas_MIDI,85,5,5.018312924268409
alturas_MIDI,85,6,5.47938898522115
alturas_MIDI,85,7,5.580641500203991
alturas_MIDI,86,2,0.9681971624739016
alturas_MIDI,86,3,2.3455526480977547
alturas_MIDI,86,4,3.9215595667228738
alturas_MIDI,86,5,4.9671353817531925
alturas_MIDI,86,6,5.444577600632866
alturas_MIDI,86,7,5.559950539590261
alturas_MIDI,87,2,0.9174803248092938
alturas_MIDI,87,3,2.2279885130422064
alturas_MIDI,87,4,3.712611428953041
alturas_MIDI,87,5,4.881323961131677
alturas_MIDI,87,6,5.425908718474075
alturas_MIDI,87,7,5.554777799436828
alturas_MIDI,88,2,0.9526685115324471
alturas_MIDI,88,3,2.3447475676605087
alturas_MIDI,88,4,3.9220330932706435
alturas_MIDI,88,5,5.107785412349389
alturas_MIDI,88,6,5.52577058094635
alturas_MIDI,88,7,5.585814240357424
