label,SBP
603.0000000000,0.7794400505
604.0000000000,0.7808821830
605.0000000000,0.8123040327
606.0000000000,0.7974583092
607.0000000000,0.8321188909
608.0000000000,0.8061567604
609.0000000000,0.8084408677
610.0000000000,0.8170029414
613.0000000000,0.7701330730
614.0000000000,0.8131532387
615.0000000000,0.8201248997
616.0000000000,0.8112313569
617.0000000000,0.8071263945
618.0000000000,0.8261785534
619.0000000000,0.8369129130
620.0000000000,0.7917379452
622.0000000000,0.8327982593
623.0000000000,0.8329087039
624.0000000000,0.8167721657
626.0000000000,0.8214769557
627.0000000000,0.7988791638
629.0000000000,0.7757848733
630.0000000000,0.8240838195
631.0000000000,0.8081055289
634.0000000000,0.8062085192
635.0000000000,0.8170221098
636.0000000000,0.7941661546
637.0000000000,0.8333721672
640.0000000000,0.8114746681
642.0000000000,0.7943218803
643.0000000000,0.8213707942
644.0000000000,0.8143883102
645.0000000000,0.8216184779
647.0000000000,0.8064373611
648.0000000000,0.8270711880
649.0000000000,0.8283637030
650.0000000000,0.8174505519
652.0000000000,0.8295318201
653.0000000000,0.8161154344
654.0000000000,0.8039219150
655.0000000000,0.8173979694
657.0000000000,0.7961111151
659.0000000000,0.7955056571
660.0000000000,0.8269422268
661.0000000000,0.8303857565
662.0000000000,0.8135376599
663.0000000000,0.8170271495
664.0000000000,0.8162438623
665.0000000000,0.8160812765
668.0000000000,0.8013795977
669.0000000000,0.8069522474
672.0000000000,0.8041897313
674.0000000000,0.8243689186
675.0000000000,0.7967327054
676.0000000000,0.8165700500
677.0000000000,0.8117474598
678.0000000000,0.7994530668
679.0000000000,0.8190758001
680.0000000000,0.8122556109
682.0000000000,0.8410994663
683.0000000000,0.7985346014
684.0000000000,0.7853998314
685.0000000000,0.7932578487
686.0000000000,0.8197265016
689.0000000000,0.8035616187
690.0000000000,0.8249913819
692.0000000000,0.7530591548
695.0000000000,0.8062038657
696.0000000000,0.8038517545
699.0000000000,0.8071672941
700.0000000000,0.8042742102
702.0000000000,0.7856249358
703.0000000000,0.8053325423
704.0000000000,0.8310528210
705.0000000000,0.8195941119
706.0000000000,0.8199783418
708.0000000000,0.8104016015
709.0000000000,0.8043144475
710.0000000000,0.8267574778
711.0000000000,0.8132973156
712.0000000000,0.8333255057
713.0000000000,0.7854567387
716.0000000000,0.8205499169
717.0000000000,0.8248298651
719.0000000000,0.8101509647
720.0000000000,0.8231917530
721.0000000000,0.8127663992
722.0000000000,0.7985238121
723.0000000000,0.8221570874
724.0000000000,0.7364613463
725.0000000000,0.8287059610
729.0000000000,0.8079219036
730.0000000000,0.7925538993
731.0000000000,0.8089541339
732.0000000000,0.8066507945
733.0000000000,0.8120535345
734.0000000000,0.8256894278
736.0000000000,0.8590014289
737.0000000000,0.8289310806
738.0000000000,0.8003240819
739.0000000000,0.8231547928
740.0000000000,0.8113215512
741.0000000000,0.8285894849
743.0000000000,0.8140827842
744.0000000000,0.7965705097
745.0000000000,0.7368764289
746.0000000000,0.7932308834
747.0000000000,0.8158049831
748.0000000000,0.8056507654
749.0000000000,0.8070863975
750.0000000000,0.8117293101
751.0000000000,0.8127624481
753.0000000000,0.8212257363
755.0000000000,0.8222424366
756.0000000000,0.8205943206
758.0000000000,0.8207956231
759.0000000000,0.8137617992
760.0000000000,0.8061814354
761.0000000000,0.8006272912
762.0000000000,0.7808020659
763.0000000000,0.8335723506
764.0000000000,0.8203088789
765.0000000000,0.8097636212
766.0000000000,0.8283515916
767.0000000000,0.7994732162
768.0000000000,0.8151043624
769.0000000000,0.8249677150
770.0000000000,0.8309109846
771.0000000000,0.8443843297
772.0000000000,0.8512077935
773.0000000000,0.7837517877
774.0000000000,0.8103579578
775.0000000000,0.6732670943
776.0000000000,0.8154073727
778.0000000000,0.8179281447
779.0000000000,0.8044059227
781.0000000000,0.8112021819
782.0000000000,0.8274779948
783.0000000000,0.8215152732
785.0000000000,0.8145384412
786.0000000000,0.8247558495
787.0000000000,0.8213353606
788.0000000000,0.8182465231
789.0000000000,0.8234075970
790.0000000000,0.8030894380
791.0000000000,0.8152214805
792.0000000000,0.8245419223
795.0000000000,0.7748877509
796.0000000000,0.7835285297
797.0000000000,0.8121666499
798.0000000000,0.8238247952
799.0000000000,0.8281067555
800.0000000000,0.8064771481
802.0000000000,0.7571662276
804.0000000000,0.8023031641
806.0000000000,0.8105305934
807.0000000000,0.8313121309
808.0000000000,0.7946153877
810.0000000000,0.8260418542
811.0000000000,0.8118648779
812.0000000000,0.8017164213
815.0000000000,0.8264305363
816.0000000000,0.8222445365
817.0000000000,0.8079863736
819.0000000000,0.8010777860
820.0000000000,0.8336431229
821.0000000000,0.8128248224
